Rooms,Price,Distance,Bathroom,Car,Landsize,BuildingArea,Propertycount,Build_Age,Type_h,Type_t,Type_u,Method_S,Method_SA,Method_SP,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria
1,457000.0,2.5,1.0,1.0,0.0,50.0,4019.0,52.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,1135000.0,2.5,2.0,2.0,98.0,128.0,4019.0,102.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1542000.0,2.5,3.0,1.0,0.0,167.28109546606595,4019.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1290000.0,2.5,2.0,2.0,147.0,18.0,4019.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1290000.0,2.5,1.0,1.0,168.0,124.0,4019.0,72.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,470000.0,2.5,1.0,1.0,0.0,50.0,4019.0,9.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,1180000.0,2.5,1.0,0.0,162.0,91.0,4019.0,122.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1195000.0,2.5,2.0,1.0,120.0,128.0,4019.0,24.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2,1012500.0,2.5,1.0,0.0,182.0,82.0,4019.0,122.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,1030000.0,2.5,1.0,1.0,172.0,81.0,4019.0,92.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,770000.0,13.5,2.0,1.0,0.0,145.0,3464.0,57.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,603000.0,13.5,1.0,1.0,272.0,84.0,3464.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,700000.0,13.5,2.0,2.0,239.0,134.0,3464.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,600000.0,13.5,1.0,1.0,290.0,116.0,3464.0,42.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,720000.0,13.5,1.0,1.0,620.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,785000.0,13.5,1.0,2.0,597.0,127.0,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6,725000.0,13.5,3.0,2.0,976.0,186.0,3464.0,42.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,450000.0,13.5,1.0,1.0,110.0,90.0,3464.0,7.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,515000.0,13.5,1.0,1.0,141.0,73.0,3464.0,9.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2,530000.0,13.5,1.0,1.0,120.0,94.0,3464.0,10.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,805000.0,13.5,1.0,1.0,0.0,105.0,3464.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,752000.0,13.5,1.0,1.0,265.0,130.0,3464.0,29.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2,440000.0,13.5,1.0,1.0,192.0,81.92271186440678,3464.0,52.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,830000.0,13.5,1.0,2.0,971.0,113.0,3464.0,62.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,462500.0,13.5,1.0,1.0,164.0,81.92271186440678,3464.0,19.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,670000.0,13.5,2.0,2.0,657.0,167.28109546606595,3464.0,52.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,675000.0,13.5,1.0,1.0,612.0,100.0,3464.0,47.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1042000.0,13.5,2.0,5.0,612.0,174.0,3464.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,910000.0,13.5,1.0,1.0,775.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,773000.0,13.5,3.0,4.0,531.0,309.0,3464.0,42.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,715000.0,13.5,2.0,2.0,422.0,126.0,3464.0,27.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,790000.0,13.5,1.0,3.0,614.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,540000.0,13.5,2.0,1.0,161.0,101.0,3464.0,12.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,825000.0,13.5,2.0,1.0,293.0,102.0,3464.0,62.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,685000.0,13.5,1.0,1.0,579.0,113.0,3464.0,47.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,805000.0,13.5,1.0,1.0,623.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,510000.0,13.5,1.0,1.0,141.0,76.0,3464.0,52.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,612000.0,13.5,2.0,1.0,212.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,662000.0,13.5,1.0,2.0,612.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,978000.0,13.5,3.0,2.0,532.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,765000.0,13.5,1.0,2.0,509.0,167.28109546606595,3464.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,900000.0,13.5,2.0,3.0,628.0,146.0,3464.0,47.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1275000.0,3.3,1.0,1.0,120.0,82.0,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1455000.0,3.3,1.0,1.0,159.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1850000.0,3.3,2.0,1.0,128.0,133.0,3280.0,132.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1436000.0,3.3,1.0,1.0,130.0,81.0,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1110000.0,3.3,1.0,1.0,147.0,167.28109546606595,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1550000.0,3.3,1.0,1.0,167.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,2120000.0,3.3,1.0,1.0,199.0,107.0,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1800000.0,3.3,2.0,1.0,90.0,122.0,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,2100000.0,3.3,2.0,1.0,237.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1300000.0,3.3,1.0,1.0,129.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1370000.0,3.3,2.0,2.0,0.0,85.0,3280.0,22.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1000000.0,3.3,1.0,1.0,288.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1322500.0,3.3,1.0,1.0,149.0,98.0,3280.0,132.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1562500.0,3.3,1.0,1.0,141.0,83.0,3280.0,132.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1900000.0,3.3,1.0,1.0,209.0,167.28109546606595,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,647000.0,3.3,1.0,1.0,0.0,81.92271186440678,3280.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,2100000.0,3.3,1.0,1.0,120.0,123.0,3280.0,122.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,442500.0,3.3,1.0,0.0,0.0,34.0,3280.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2,1340000.0,3.3,1.0,1.0,136.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1801000.0,3.3,1.0,1.0,202.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1532000.0,3.3,3.0,1.0,0.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4,2140000.0,3.3,2.0,1.0,183.0,145.0,3280.0,142.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1750000.0,3.3,1.0,1.0,162.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,2030000.0,3.3,2.0,1.0,152.0,167.28109546606595,3280.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,985000.0,3.3,1.0,1.0,81.0,54.0,3280.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4,2000000.0,6.4,2.0,4.0,853.0,263.0,2211.0,92.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1110000.0,6.4,2.0,2.0,208.0,167.28109546606595,2211.0,9.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1492000.0,6.4,2.0,2.0,411.0,167.28109546606595,2211.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1717500.0,6.4,2.0,1.0,599.0,203.0,2211.0,97.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,525500.0,6.4,1.0,1.0,88.0,60.0,2211.0,62.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,805000.0,6.4,2.0,3.0,155.0,140.0,2211.0,18.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2,465000.0,6.4,1.0,1.0,0.0,81.92271186440678,2211.0,52.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3,1540000.0,6.4,1.0,2.0,592.0,167.28109546606595,2211.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,820000.0,6.4,1.0,1.0,183.0,81.92271186440678,2211.0,52.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
4,1830000.0,6.4,2.0,2.0,606.0,112.0,2211.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4,2100000.0,6.4,2.0,2.0,575.0,271.0,2211.0,14.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,865000.0,6.4,1.0,1.0,180.0,131.0,2211.0,12.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2,650000.0,6.4,1.0,0.0,0.0,136.74614022988504,2211.0,52.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2,512000.0,6.4,1.0,1.0,0.0,61.0,2211.0,57.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3,1165000.0,6.4,1.0,2.0,979.0,167.28109546606595,2211.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1900000.0,6.4,2.0,2.0,556.0,272.0,2211.0,92.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1485000.0,6.4,1.0,1.0,597.0,167.28109546606595,2211.0,52.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
4,1950000.0,6.4,2.0,3.0,589.0,210.0,2211.0,102.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
5,1525000.0,13.8,3.0,3.0,729.0,268.0,5301.0,17.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,720000.0,13.8,1.0,2.0,292.0,125.0,5301.0,9.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,1120000.0,13.8,1.0,2.0,506.0,120.0,5301.0,92.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,1780000.0,13.8,3.0,6.0,1057.0,220.0,5301.0,60.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,630000.0,13.8,1.0,2.0,311.0,94.0,5301.0,67.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2,406000.0,13.8,1.0,1.0,65.0,81.92271186440678,5301.0,52.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,683500.0,13.8,1.0,1.0,530.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,580000.0,13.8,1.0,1.0,225.0,93.0,5301.0,34.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,1335000.0,13.8,1.0,4.0,777.0,22.0,5301.0,69.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,800000.0,13.8,2.0,2.0,280.0,136.74614022988504,5301.0,25.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2,510000.0,13.8,1.0,1.0,127.0,76.0,5301.0,32.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
4,1070000.0,13.8,2.0,2.0,695.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,425000.0,13.8,1.0,2.0,115.0,57.0,5301.0,42.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,605000.0,13.8,2.0,2.0,230.0,81.92271186440678,5301.0,52.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,705000.0,13.8,2.0,2.0,197.0,152.0,5301.0,52.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,391000.0,13.8,1.0,1.0,0.0,65.0,5301.0,57.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,440000.0,13.8,1.0,1.0,0.0,81.92271186440678,5301.0,52.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4,845000.0,13.8,1.0,2.0,745.0,130.0,5301.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,743000.0,13.8,2.0,2.0,211.0,176.0,5301.0,52.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,730000.0,13.8,2.0,1.0,69.0,141.0,5301.0,8.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,635000.0,13.8,1.0,4.0,625.0,167.28109546606595,5301.0,62.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,620000.0,13.8,1.0,1.0,168.0,81.92271186440678,5301.0,52.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,447000.0,13.8,1.0,1.0,137.0,77.0,5301.0,32.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,730000.0,13.8,2.0,1.0,70.0,81.92271186440678,5301.0,52.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,678000.0,13.8,1.0,2.0,606.0,87.0,5301.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,712000.0,13.8,1.0,2.0,363.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,840000.0,13.8,2.0,2.0,534.0,136.0,5301.0,57.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,980000.0,13.8,1.0,2.0,724.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,605100.0,13.8,2.0,0.0,265.0,136.74614022988504,5301.0,52.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,577000.0,13.8,2.0,1.0,205.0,113.0,5301.0,15.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
4,1030000.0,13.8,1.0,1.0,797.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,605000.0,13.8,1.0,2.0,181.0,81.92271186440678,5301.0,52.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,753000.0,13.8,2.0,2.0,529.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,857000.0,13.8,2.0,1.0,675.0,100.0,5301.0,72.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1500000.0,13.8,1.0,1.0,929.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,730000.0,13.8,2.0,1.0,70.0,3.0,5301.0,8.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3,900000.0,13.8,1.0,4.0,697.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,740000.0,13.8,1.0,2.0,604.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,931000.0,13.8,2.0,3.0,532.0,167.28109546606595,5301.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,535600.0,13.8,1.0,1.0,154.0,91.0,5301.0,26.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
5,1085000.0,11.1,3.0,6.0,592.0,251.0,5132.0,57.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,781000.0,11.1,1.0,2.0,533.0,117.0,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,750000.0,11.1,1.0,3.0,554.0,167.28109546606595,5132.0,52.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,421000.0,11.1,1.0,1.0,77.0,77.0,5132.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,1405000.0,11.1,1.0,3.0,655.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,683000.0,11.1,1.0,2.0,534.0,167.0,5132.0,55.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,623000.0,11.1,1.0,3.0,540.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,588000.0,11.1,1.0,1.0,328.0,118.0,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,875000.0,11.1,1.0,4.0,559.0,169.0,5132.0,57.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,640000.0,11.1,1.0,1.0,252.0,136.74614022988504,5132.0,57.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
4,650000.0,11.1,1.0,4.0,558.0,167.28109546606595,5132.0,52.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,675000.0,11.1,2.0,2.0,171.0,109.0,5132.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,708000.0,11.1,1.0,2.0,585.0,97.0,5132.0,62.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,965000.0,11.1,1.0,4.0,851.0,167.28109546606595,5132.0,52.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,680000.0,11.1,1.0,3.0,551.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,770000.0,11.1,1.0,3.0,602.0,603.0,5132.0,52.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,923000.0,11.1,1.0,2.0,740.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,693000.0,11.1,2.0,4.0,315.0,170.0,5132.0,14.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,620000.0,11.1,2.0,2.0,276.0,100.0,5132.0,12.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,728500.0,11.1,1.0,1.0,531.0,157.0,5132.0,62.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,931000.0,11.1,2.0,1.0,590.0,160.0,5132.0,72.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,988000.0,11.1,1.0,4.0,715.0,167.28109546606595,5132.0,14.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,590000.0,11.1,1.0,2.0,561.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,610000.0,11.1,1.0,2.0,691.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,815000.0,11.1,2.0,3.0,555.0,130.0,5132.0,62.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,970000.0,11.1,1.0,2.0,708.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,760000.0,11.1,1.0,3.0,668.0,167.28109546606595,5132.0,52.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,847500.0,11.1,3.0,1.0,252.0,136.74614022988504,5132.0,52.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
4,1200000.0,11.1,1.0,4.0,633.0,158.0,5132.0,62.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,700000.0,11.1,1.0,1.0,557.0,167.28109546606595,5132.0,52.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,292000.0,11.1,1.0,1.0,153.0,70.0,5132.0,52.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2,599000.0,6.3,1.0,1.0,0.0,76.0,4836.0,58.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,995000.0,6.3,2.0,2.0,0.0,100.0,4836.0,24.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1205000.0,6.3,2.0,2.0,101.0,105.0,4836.0,22.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
3,1939000.0,6.3,2.0,2.0,296.0,150.0,4836.0,133.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,421500.0,6.3,1.0,0.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1870000.0,6.3,1.0,1.0,217.0,116.0,4836.0,134.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,678000.0,6.3,1.0,2.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1918000.0,6.3,2.0,2.0,0.0,165.0,4836.0,27.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2,660000.0,6.3,1.0,1.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3,2050000.0,6.3,2.0,1.0,205.0,116.0,4836.0,112.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,825000.0,6.3,1.0,1.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1586000.0,6.3,2.0,2.0,246.0,136.74614022988504,4836.0,52.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2,645000.0,6.3,1.0,1.0,0.0,81.92271186440678,4836.0,62.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,1435000.0,6.3,2.0,1.0,144.0,107.0,4836.0,122.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1780000.0,6.3,2.0,2.0,0.0,167.28109546606595,4836.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,592500.0,6.3,1.0,1.0,0.0,73.0,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2,1210000.0,6.3,1.0,1.0,249.0,96.0,4836.0,112.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,390000.0,6.3,1.0,0.0,881.0,81.92271186440678,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,324000.0,6.3,1.0,1.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2,1125000.0,6.3,1.0,2.0,169.0,167.28109546606595,4836.0,52.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,440000.0,6.3,1.0,1.0,0.0,53.0,4836.0,52.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3,732000.0,6.3,2.0,2.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2,704000.0,6.3,1.0,1.0,0.0,74.0,4836.0,53.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3,1900000.0,6.3,1.0,2.0,328.0,108.0,4836.0,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,315000.0,6.3,1.0,1.0,0.0,81.92271186440678,4836.0,52.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,710000.0,6.3,1.0,1.0,2471.0,80.0,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2,872000.0,6.3,1.0,1.0,1194.0,81.92271186440678,4836.0,69.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2,598000.0,6.3,1.0,1.0,0.0,88.0,4836.0,52.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1285000.0,6.3,1.0,2.0,186.0,80.0,4836.0,102.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
